I will be writing articles on different topics. | Future Continuous Tense
They will write the letter to their best friend.12. They are going to dance. | Simple Future Tense
He will close the shop.13. I will go to London next week. | Simple Future Tense
She will see her friend at the weekend.14. I will be twenty seven in April. | Simple Future Tense
I will read the newspaper when I go to bus station.15. She won’t do the ironing. | Simple Future Tense
Tomorrow, the sun will rise at 6:00 am. | Simple Future Tense
They will be here in two hours. | Simple Future Tense
Will it be windy tomorrow morning? | Simple Future Tense
He will love her forever. | Simple Future Tense
She will cry. | Simple Future Tense
You will miss me in future. | Simple Future Tense
They will come here tomorrow. | Simple Future Tense
I will miss you when you move to another country. | Simple Future Tense
Mark will fix my car. | Simple Future Tense
I won’t go to the theater. | Simple Future Tense
Tomorrow, My father will apply for a new job. | Simple Future Tense
We won’t go to the theater. | Simple Future Tense
I won’t go to the cemetery. | Simple Future Tense
We are going to eat. | Simple Future Tense
We think, We will be back on Sunday from holiday. | Simple Future Tense
I will stay at home at the weekend. | Simple Future Tense
He will call me tomorrow. | Simple Future Tense
We will play basketball. | Simple Future Tense
You’ll feel better with this orange juice. | Simple Future Tense
I am afraid you won’t remember me. | Simple Future Tense
He is going to jump. | Simple Future Tense
You will go to France tomorrow. | Simple Future Tense
He is going to sleep. | Simple Future Tense
She will be a successful engineer in 3 years. | Simple Future Tense
Will you come to the party? | Simple Future Tense
When will you travel? | Simple Future Tense
You can’t carry this luggage yourself. I will help you. | Simple Future Tense
I am going to cook tonight. | Simple Future Tense
It won’t be very cold next week. | Simple Future Tense
Will it hurt? | Simple Future Tense
I will make a tea. | Simple Future Tense
She will meet with her best friends. | Simple Future Tense
They will win the game. | Simple Future Tense
She won’t watch the football match. | Simple Future Tense
They will go to the school. | Simple Future Tense
It will stay in the outside. | Simple Future Tense
We will probably win. | Simple Future Tense
I watched TV last week. | Simple Past Tense
We ate meat with my best friend yesterday. | Simple Past Tense
The bus stopped a few minutes ago. | Simple Past Tense
I met my wife 9 years ago. | Simple Past Tense
She left the school in 2010. | Simple Past Tense
He bought a new house last month. | Simple Past Tense
Did she clean her home? | Simple Past Tense
I read an interesting book last month. | Simple Past Tense
We did a lot of shopping at the shopping mall. | Simple Past Tense
He cut his finger and went to hospital. | Simple Past Tense
She finished her work at six o’clock. | Simple Past Tense
The rain stopped an hour ago. | Simple Past Tense
It discovered a new land. | Simple Past Tense
We watched a movie last weekend. | Simple Past Tense
We were good friends. | Simple Past Tense
You were at station. | Simple Past Tense
I went to bed early yesterday. | Simple Past Tense
George came home very late last night. | Simple Past Tense
I forgot my wallet. | Simple Past Tense
He had a dog last year. | Simple Past Tense
Last year I traveled to Germany. | Simple Past Tense
Two boys played with a ball. | Simple Past Tense
An old lady walked with her cat. | Simple Past Tense
A nurse brought a little girl baby to the park. | Simple Past Tense
An old man sat down and read his book. | Simple Past Tense
A large trunk came around the corner. | Simple Past Tense
She finished all the exercices. | Simple Past Tense
I enrolled to the pilates course. | Simple Past Tense
Dr Smith healed the patient. | Simple Past Tense
They bought 2 tickets for the U2 concert. | Simple Past Tense
Michael studied hard all year. | Simple Past Tense
Did you play football last day? | Simple Past Tense
I missed the class last week. | Simple Past Tense
My brother drank a glass of milk 2 hours ago. | Simple Past Tense
They had a meeting with her colleagues. | Simple Past Tense
They were students last year. | Simple Past Tense
He smoked a cigarrette. | Simple Past Tense
They lived in the Spain. | Simple Past Tense
Alex changed his place. | Simple Past Tense
I liked the film. | Simple Past Tense
Did they lose the match? | Simple Past Tense
A gardener swept up dead leaves. | Simple Past Tense
We listened to music. | Simple Past Tense
Where was she at 7 o’clock last night? | Simple Past Tense
Amelia chose to stay with her father. | Simple Past Tense
Mary forgot to turn off the light. | Simple Past Tense
I cancelled my meeting for tomorrow. | Simple Past Tense
I went to school yesterday. | Simple Past Tense
We played basketball last Sunday. | Simple Past Tense
We saw the Eiffel Tower. | Simple Past Tense
He loves to play basketball. | Simple Present Tense
He goes to school. | Simple Present Tense
Does he go to school? | Simple Present Tense
She writes an e-mail to her best friend. | Simple Present Tense
He thinks he is very handsome. | Simple Present Tense
It usually rains every day here. | Simple Present Tense
It smells very delicious in the kitchen. | Simple Present Tense
We generally sing songs all together. | Simple Present Tense
We go to a gallery every Sunday. | Simple Present Tense
The sun rises at the east. | Simple Present Tense
She goes to work by car. | Simple Present Tense
Does he write an email? | Simple Present Tense
They go to a gallery every Saturday. | Simple Present Tense
It doesn’t rain here in the summer. | Simple Present Tense
We cook every day. | Simple Present Tense
We go to the gym club together. | Simple Present Tense
You have a big house. | Simple Present Tense
Do we know each other? | Simple Present Tense
They sleep in the afternoon. | Simple Present Tense
When do they usually talk to each other? | Simple Present Tense
The children are at home. | Simple Present Tense
The earth goes round the sun. | Simple Present Tense
George brushes his teeth twice a day. | Simple Present Tense
He gets up early every day. | Simple Present Tense
They speak English in USA. | Simple Present Tense
I like reading detective stories. | Simple Present Tense
I like geography and science. | Simple Present Tense
She doesn’t study German on Monday. | Simple Present Tense
she live in Paris? | Simple Present Tense
He doesn’t teach math. | Simple Present Tense
Cats hate water. | Simple Present Tense
Every child likes an icecream. | Simple Present Tense
My mother never lies. | Simple Present Tense
The Earth is spherical. | Simple Present Tense
She doesn’t use a computer. | Simple Present Tense
It snows a lot in winter in Russia. | Simple Present Tense
We live in Texas. | Simple Present Tense
You go to holiday every summer. | Simple Present Tense
Do you like spaghetti? | Simple Present Tense
My daughter does the laundry. | Simple Present Tense
My brother takes out the trash. | Simple Present Tense
The course starts next Sunday. | Simple Present Tense
She swims every morning. | Simple Present Tense
I don’t wash the dishes. | Simple Present Tense
We see them every week. | Simple Present Tense
I don’t like tea. | Simple Present Tense
When does the train usually leave? | Simple Present Tense
She always forgets her purse. | Simple Present Tense
You don’t have children. | Simple Present Tense
I and my sister don’t see each other anymore. | Simple Present Tense
They don’t go to school tomorrow. | Simple Present Tense
She wants to be a dentist. | Simple Present Tense
Cows eat grass. | Simple Present Tense
My cat runs very fast. | Simple Present Tense
My son lives in London. | Simple Present Tense
They don’t have any money. | Simple Present Tense
She plays basketball. | Simple Present Tense
He catches the train every morning. | Simple Present Tense
My sister works at the theater. | Simple Present Tense
Michael doesn’t work. | Simple Present Tense
How often do you see George? | Simple Present Tense
She doesn’t see Peter every day. | Simple Present Tense
My boyfriend loves this song. | Simple Present Tense
My father doesn’t speak good English. | Simple Present Tense
He goes to football every day. | Simple Present Tense
California is not in the United Kingdom. | Simple Present Tense
The Queen of England lives in Buckingham Palace. | Simple Present Tense
Julie talks very fast. | Simple Present Tense
My brother’s dog barks a lot. | Simple Present Tense
Does he play tennis? | Simple Present Tense
The train leaves every morning. | Simple Present Tense
Water freezes at 0°C. | Simple Present Tense
